date	clf_type	F1_score	training_time	inference_time	use_morphological_operation
2019_07_25	ExG	0.7662	11.43	0.16	1
2019_07_25	TGI	0.6864	11.27	0.14	1
2019_07_25	CIVE	0.6668	12.53	0.19	1
2019_07_25	RGRI	0.7003	14.57	0.16	1
2019_07_25	NGRDI	0.6999	14.59	0.22	1
2019_07_25	VARI	0.6855	15.0	0.17	1
2019_07_25	VDVI	0.7438	13.9	0.15	1
2019_07_25	VEG	0.7375	12.41	0.14	1
2019_07_25	MGRVI	0.6994	12.11	0.17	1
2019_07_25	RGBVI	0.7476	12.76	0.16	1
2019_09_20	ExG	0.7568	11.78	0.14	1
2019_09_20	TGI	0.738	12.07	0.14	1
2019_09_20	CIVE	0.7391	12.08	0.16	1
2019_09_20	RGRI	0.688	14.56	0.17	1
2019_09_20	NGRDI	0.688	13.82	0.18	1
2019_09_20	VARI	0.6746	13.92	0.14	1
2019_09_20	VDVI	0.7133	11.99	0.14	1
2019_09_20	VEG	0.7085	11.4	0.15	1
2019_09_20	MGRVI	0.688	11.96	0.14	1
2019_09_20	RGBVI	0.7103	11.8	0.15	1
2019_10_11	ExG	0.843	13.22	0.16	1
2019_10_11	TGI	0.8338	13.22	0.19	1
2019_10_11	CIVE	0.8402	14.54	0.17	1
2019_10_11	RGRI	0.6492	13.76	0.15	1
2019_10_11	NGRDI	0.6492	16.33	0.17	1
2019_10_11	VARI	0.5981	13.66	0.16	1
2019_10_11	VDVI	0.7238	13.18	0.17	1
2019_10_11	VEG	0.704	13.26	0.17	1
2019_10_11	MGRVI	0.6492	13.17	0.16	1
2019_10_11	RGBVI	0.7287	13.17	0.17	1
2019_07_25	linear	0.8017	12.81	0.25	1
2019_09_20	linear	0.7557	12.65	0.23	1
2019_10_11	linear	0.8391	13.07	0.24	1
2019_07_25	fraction	0.7456	21.2	0.47	1
2019_09_20	fraction	0.7129	15.12	0.43	1
2019_10_11	fraction	0.7501	17.34	0.49	1
